vehicle_id,vehicle_name,source_file,source_sheet,altitude_m,climb_time_setting_1_s,climb_time_wep_s,max_speed_wep_kmh,max_speed_wep_mps
p_36a_hawk,P-36A Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,0.0,0.0,0.0,460.0,127.77777777777777
p_36a_hawk,P-36A Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,1000.0,58.0,49.0,476.0,132.22222222222223
p_36a_hawk,P-36A Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,2000.0,115.0,97.0,494.0,137.22222222222223
p_36a_hawk,P-36A Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,3000.0,176.0,150.0,505.0,140.27777777777777
p_36a_hawk,P-36A Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,4000.0,248.0,212.0,496.0,137.77777777777777
p_36a_hawk,P-36A Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,5000.0,337.0,288.0,485.0,134.72222222222223
p_36a_hawk,P-36A Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,6000.0,450.0,384.0,472.0,131.11111111111111
p_36c_hawk,P-36C Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,0.0,0.0,0.0,458.0,127.22222222222221
p_36c_hawk,P-36C Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,1000.0,60.0,50.0,473.0,131.38888888888889
p_36c_hawk,P-36C Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,2000.0,119.0,100.0,491.0,136.38888888888889
p_36c_hawk,P-36C Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,3000.0,182.0,155.0,502.0,139.44444444444443
p_36c_hawk,P-36C Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,4000.0,257.0,220.0,492.0,136.66666666666666
p_36c_hawk,P-36C Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,5000.0,350.0,299.0,481.0,133.61111111111111
p_36c_hawk,P-36C Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,6000.0,469.0,400.0,468.0,130.0
p_36g_hawk,P-36G Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,0.0,0.0,0.0,454.0,126.11111111111111
p_36g_hawk,P-36G Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,1000.0,62.0,52.0,469.0,130.27777777777777
p_36g_hawk,P-36G Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,2000.0,124.0,104.0,487.0,135.27777777777777
p_36g_hawk,P-36G Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,3000.0,189.0,160.0,497.0,138.05555555555554
p_36g_hawk,P-36G Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,4000.0,267.0,228.0,487.0,135.27777777777777
p_36g_hawk,P-36G Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,5000.0,364.0,310.0,476.0,132.22222222222223
p_36g_hawk,P-36G Hawk,WarThunder_FactChecker2.xlsx,USAAFUSAF,6000.0,489.0,416.0,463.0,128.61111111111111
p_40e_1,P-40E-1,WarThunder_FactChecker2.xlsx,USAAFUSAF,0.0,0.0,,523.0,145.27777777777777
p_40e_1,P-40E-1,WarThunder_FactChecker2.xlsx,USAAFUSAF,1000.0,70.0,53.0,538.0,149.44444444444443
p_40e_1,P-40E-1,WarThunder_FactChecker2.xlsx,USAAFUSAF,2000.0,141.0,107.0,557.0,154.72222222222223
p_40e_1,P-40E-1,WarThunder_FactChecker2.xlsx,USAAFUSAF,3000.0,213.0,166.0,568.0,157.77777777777777
p_40e_1,P-40E-1,WarThunder_FactChecker2.xlsx,USAAFUSAF,4000.0,286.0,236.0,560.0,155.55555555555554
p_40e_1,P-40E-1,WarThunder_FactChecker2.xlsx,USAAFUSAF,5000.0,371.0,320.0,551.0,153.05555555555554
p_40e_1,P-40E-1,WarThunder_FactChecker2.xlsx,USAAFUSAF,6000.0,476.0,427.0,539.0,149.72222222222223
p_400,P-400,WarThunder_FactChecker2.xlsx,USAAFUSAF,0.0,0.0,0.0,515.0,143.05555555555554
