vehicle_id,name,br,top_speed_sea_level_kph,top_speed_sea_level_mps,top_speed_sea_level_mph,top_speed_sea_level_knots,source
su_27_sm_30_min,Su-27 SM (30 min),13.7,1536.0,426.66666666666663,954.4258560000001,829.373952,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 3}"
mirage_2000_valid_for_all_variants,Mirage 2000 (valid for all variants),13.7,1512.0,420.0,939.512952,816.414984,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 4}"
j_10a,J-10A,13.7,1508.0,418.88888888888886,937.027468,814.255156,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 5}"
f_16c_block_50_30_min,F-16C Block 50 (30 min),13.7,1505.0,418.05555555555554,935.163355,812.6352850000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 6}"
f_15c_improved_baz_30_min,F-15C / Improved Baz (30 min),13.7,1495.0,415.27777777777777,928.949645,807.235715,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 7}"
jas39c_gripen_30_min,JAS39C Gripen (30 min),13.7,1482.0,411.66666666666663,920.8721065440001,800.216274,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 8}"
f_16d_block_40_30min,F-16D Block 40 (30min),13.7,1443.0,400.8333333333333,896.638353,779.157951,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 9}"
mig_29smt_9_19,MiG-29SMT 9.19,13.3,1555.0,431.94444444444446,966.231905,839.633135,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 10}"
su_2730_min,Su-27(30 min),13.3,1536.0,426.66666666666663,954.4258560000001,829.373952,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 11}"
tornado_adv_f_3,Tornado ADV / F.3,13.3,1493.0,414.72222222222223,927.707189656,806.155801,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 12}"
f_4f_kws,F-4F KWS,13.3,1438.0,399.44444444444446,893.531498,776.458166,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 13}"
jf_17,JF-17,13.3,1430.0,397.22222222222223,888.56053,772.13851,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 14}"
mirage_4000,Mirage 4000,13.0,1540.0,427.77777777777777,956.91134,831.53378,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 15}"
f_16a_block_15_20_30_min,F-16A Block 15 / 20 (30 min),13.0,1502.0,417.22222222222223,933.299242,811.0154140000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 16}"
jas39a_gripen_30_min,JAS39A Gripen (30 min),13.0,1482.0,411.66666666666663,920.8721065440001,800.216274,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 17}"
f_15a_30_min,F-15A (30 min),13.0,1460.0,405.55555555555554,907.2016600000001,788.33722,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 18}"
j_8f,J-8F,13.0,1365.0,379.1666666666667,848.171415,737.0413050000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 19}"
av_8b_plus,AV-8B Plus,13.0,1138.0,316.1111111111111,707.120198,614.4710660000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 20}"
mig_29_9_13,MiG-29 9.13,12.7,1575.0,437.5,978.659325,850.432275,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 22}"
f_16a_block_10_30_min,F-16A Block 10 (30 min),12.7,1511.0,419.72222222222223,938.891581,815.875027,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 23}"
f_14b,F-14B,12.7,1377.0,382.5,855.627867,743.520789,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 24}"
f_20,F-20,12.7,1369.0,380.27777777777777,850.656899,739.201133,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 25}"
yak_141,Yak-141,12.7,1279.0,355.27777777777777,794.733509,690.605003,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 26}"
mirage_2000_valid_for_all_variants,Mirage 2000 (valid for all variants),12.3,1512.0,420.0,939.512952,816.414984,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 27}"
f_14a,F-14A,12.3,1474.0,409.44444444444446,915.900854,795.896618,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 28}"
f_4ej,F-4EJ,12.3,1417.0,393.6111111111111,880.482707,765.1190690000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 29}"
mig_21bis_lazur_m_upg,MiG-21Bis / “Lazur-M” / UPG,12.3,1365.0,379.1666666666667,848.171415,737.0413050000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 30}"
jh_7a,JH-7A,12.3,1331.0,369.72222222222223,827.044801,718.682767,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 31}"
harrier_ii_gr_7,Harrier II GR.7,12.3,1131.0,314.1666666666667,702.7708181520001,610.691367,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 32}"
tornado_adv_f_3,Tornado ADV / F.3,12.0,1493.0,414.72222222222223,927.707189656,806.155801,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 33}"
kurnass_30_min,Kurnass (30 min),12.0,1438.0,399.44444444444446,893.531498,776.458166,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 34}"
f_4j_j_uk,F-4J/J (UK),12.0,1432.0,397.77777777777777,889.803272,773.218424,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 35}"
f_4s,F-4S,12.0,1348.0,374.44444444444446,837.608108,727.862036,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 36}"
f_111f,F-111F,11.7,1617.0,449.16666666666663,1004.756907,873.1104690000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 37}"
ja37d,JA37D,11.7,1497.0,415.8333333333333,930.192387,808.3156290000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 38}"
kfir_c_7,Kfir C.7,11.7,1460.0,405.55555555555554,907.2016600000001,788.33722,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 39}"
mirage_f1c_f1ct,Mirage F1C / F1CT,11.7,1457.0,404.72222222222223,905.337547,786.717349,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 40}"
